DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps,Year,RoundNumber,EventName,EventDate
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,1.0,,,0 days 00:01:42.762000,0 days 00:01:43.015000,0 days 00:01:41.498000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,2.0,,,0 days 00:01:42.693000,0 days 00:01:42.676000,0 days 00:01:41.677000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,3.0,,,0 days 00:01:43.355000,0 days 00:01:42.679000,0 days 00:01:41.837000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,4.0,,,0 days 00:01:42.857000,0 days 00:01:43.482000,0 days 00:01:41.911000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,5.0,,,0 days 00:01:42.642000,0 days 00:01:42.901000,0 days 00:01:41.994000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,6.0,,,0 days 00:01:42.538000,0 days 00:01:42.510000,0 days 00:01:42.490000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
31,E OCON,OCO,ocon,Force India,F596C8,force_india,Esteban,Ocon,Esteban Ocon,,,7.0,,,0 days 00:01:43.021000,0 days 00:01:42.967000,0 days 00:01:42.523000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
11,S PEREZ,PER,perez,Force India,F596C8,force_india,Sergio,Perez,Sergio Perez,,,8.0,,,0 days 00:01:43.992000,0 days 00:01:43.366000,0 days 00:01:42.547000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
27,N HULKENBERG,HUL,hulkenberg,Renault,FFF500,renault,Nico,Hulkenberg,Nico Hulkenberg,,,9.0,,,0 days 00:01:43.746000,0 days 00:01:43.232000,0 days 00:01:43.066000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
55,C SAINZ,SAI,sainz,Renault,FFF500,renault,Carlos,Sainz,Carlos Sainz,,,10.0,,,0 days 00:01:43.426000,0 days 00:01:43.464000,0 days 00:01:43.351000,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
18,L STROLL,STR,stroll,Williams,FFFFFF,williams,Lance,Stroll,Lance Stroll,,,11.0,,,0 days 00:01:44.359000,0 days 00:01:43.585000,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
35,S SIROTKIN,SIR,sirotkin,Williams,FFFFFF,williams,Sergey,Sirotkin,Sergey Sirotkin,,,12.0,,,0 days 00:01:44.261000,0 days 00:01:43.886000,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
14,F ALONSO,ALO,alonso,McLaren,FF8700,mclaren,Fernando,Alonso,Fernando Alonso,,,13.0,,,0 days 00:01:44.010000,0 days 00:01:44.019000,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
16,C LECLERC,LEC,leclerc,Sauber,9B0000,sauber,Charles,Leclerc,Charles Leclerc,,,14.0,,,0 days 00:01:43.752000,0 days 00:01:44.074000,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,15.0,,,0 days 00:01:43.674000,0 days 00:01:44.759000,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
2,S VANDOORNE,VAN,vandoorne,McLaren,FF8700,mclaren,Stoffel,Vandoorne,Stoffel Vandoorne,,,16.0,,,0 days 00:01:44.489000,,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
10,P GASLY,GAS,gasly,Toro Rosso,469BFF,toro_rosso,Pierre,Gasly,Pierre Gasly,,,17.0,,,0 days 00:01:44.496000,,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
9,M ERICSSON,ERI,ericsson,Sauber,9B0000,sauber,Marcus,Ericsson,Marcus Ericsson,,,18.0,,,0 days 00:01:45.541000,,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
28,B HARTLEY,HAR,brendon_hartley,Toro Rosso,469BFF,toro_rosso,Brendon,Hartley,Brendon Hartley,,,19.0,,,0 days 00:01:57.354000,,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
8,R GROSJEAN,GRO,grosjean,Haas F1 Team,828282,haas,Romain,Grosjean,Romain Grosjean,,,20.0,,,,,,,,,,2018,4,Azerbaijan Grand Prix,2018-04-29
44,L HAMILTON,HAM,hamilton,Mercedes,00D2BE,mercedes,Lewis,Hamilton,Lewis Hamilton,,,1.0,,,0 days 00:01:17.633000,0 days 00:01:17.166000,0 days 00:01:16.173000,,,,,2018,5,Spanish Grand Prix,2018-05-13
77,V BOTTAS,BOT,bottas,Mercedes,00D2BE,mercedes,Valtteri,Bottas,Valtteri Bottas,,,2.0,,,0 days 00:01:17.674000,0 days 00:01:17.111000,0 days 00:01:16.213000,,,,,2018,5,Spanish Grand Prix,2018-05-13
5,S VETTEL,VET,vettel,Ferrari,DC0000,ferrari,Sebastian,Vettel,Sebastian Vettel,,,3.0,,,0 days 00:01:17.031000,0 days 00:01:16.802000,0 days 00:01:16.305000,,,,,2018,5,Spanish Grand Prix,2018-05-13
7,K RAIKKONEN,RAI,raikkonen,Ferrari,DC0000,ferrari,Kimi,Räikkönen,Kimi Räikkönen,,,4.0,,,0 days 00:01:17.483000,0 days 00:01:17.071000,0 days 00:01:16.612000,,,,,2018,5,Spanish Grand Prix,2018-05-13
33,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,1E41FF,red_bull,Max,Verstappen,Max Verstappen,,,5.0,,,0 days 00:01:17.411000,0 days 00:01:17.266000,0 days 00:01:16.816000,,,,,2018,5,Spanish Grand Prix,2018-05-13
3,D RICCIARDO,RIC,ricciardo,Red Bull Racing,1E41FF,red_bull,Daniel,Ricciardo,Daniel Ricciardo,,,6.0,,,0 days 00:01:17.623000,0 days 00:01:17.638000,0 days 00:01:16.818000,,,,,2018,5,Spanish Grand Prix,2018-05-13
20,K MAGNUSSEN,MAG,kevin_magnussen,Haas F1 Team,828282,haas,Kevin,Magnussen,Kevin Magnussen,,,7.0,,,0 days 00:01:18.169000,0 days 00:01:17.618000,0 days 00:01:17.676000,,,,,2018,5,Spanish Grand Prix,2018-05-13
