Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,11,Eifel_Grand_Prix,albon,1,7,14:24:20,23.562
2020,11,Eifel_Grand_Prix,bottas,1,13,14:33:18,22.625
2020,11,Eifel_Grand_Prix,gasly,1,30,15:00:55,22.625
2020,11,Eifel_Grand_Prix,gasly,2,44,15:23:04,22.917
2020,11,Eifel_Grand_Prix,giovinazzi,1,15,14:37:09,22.482
2020,11,Eifel_Grand_Prix,giovinazzi,2,36,15:10:28,22.772
2020,11,Eifel_Grand_Prix,grosjean,1,28,14:57:54,23.635
2020,11,Eifel_Grand_Prix,hamilton,1,16,14:37:59,23.983
2020,11,Eifel_Grand_Prix,hamilton,2,45,15:22:31,23.18
2020,11,Eifel_Grand_Prix,hulkenberg,1,29,14:59:24,22.7
2020,11,Eifel_Grand_Prix,hulkenberg,2,44,15:23:08,22.686
2020,11,Eifel_Grand_Prix,kevin_magnussen,1,14,14:35:37,23.016
2020,11,Eifel_Grand_Prix,kevin_magnussen,2,34,15:07:30,23.114
2020,11,Eifel_Grand_Prix,kvyat,1,17,14:41:05,30.826
2020,11,Eifel_Grand_Prix,kvyat,2,44,15:23:55,22.527
2020,11,Eifel_Grand_Prix,latifi,1,14,14:35:40,24.737
2020,11,Eifel_Grand_Prix,latifi,2,33,15:06:01,24.063
2020,11,Eifel_Grand_Prix,leclerc,1,10,14:29:03,22.56
2020,11,Eifel_Grand_Prix,leclerc,2,35,15:08:35,23.111
2020,11,Eifel_Grand_Prix,max_verstappen,1,16,14:38:04,22.106
2020,11,Eifel_Grand_Prix,max_verstappen,2,45,15:22:43,22.568
2020,11,Eifel_Grand_Prix,norris,1,29,14:58:56,21.991
2020,11,Eifel_Grand_Prix,perez,1,28,14:57:23,22.88
2020,11,Eifel_Grand_Prix,perez,2,45,15:24:17,22.612
2020,11,Eifel_Grand_Prix,raikkonen,1,10,14:29:22,22.865
2020,11,Eifel_Grand_Prix,raikkonen,2,44,15:23:17,33.016
